phase,gradient,G
80.76923076923076,12.5,8.695525383447894
80.76923076923076,15.0,8.94222246503142
80.76923076923076,17.5,9.182449549154494
80.76923076923076,20.0,9.41656667117568
83.07692307692307,10.0,8.240421551237509
83.07692307692307,12.5,8.447142226276714
83.07692307692307,15.0,8.647797054897554
83.07692307692307,17.5,8.842750622692446
83.07692307692307,20.0,9.032398634762723
85.38461538461537,10.0,8.03849998565984
85.38461538461537,12.5,8.198406805952073
85.38461538461537,15.0,8.35342096288717
85.38461538461537,17.5,8.503794707409353
85.38461538461537,20.0,8.649813593966126
87.69230769230768,10.0,7.836231545109874
87.69230769230768,12.5,7.949694660530254
87.69230769230768,15.0,8.059648752748398
87.69230769230768,17.5,8.166248577632313
87.69230769230768,20.0,8.269662678829771
90.0,10.0,7.634028947428128
90.0,12.5,7.701495413589316
90.0,15.0,7.767059394310785
90.0,17.5,7.830813338038525
90.0,20.0,7.892860173364752
