dx,G0,field,offset,R56
0.0025,14.5,0.15,0.017448602088284974,0.020959340985170216
0.0025,14.5,0.1625,0.019116264672522167,0.024404693905107328
0.0025,14.5,0.175,0.020764899954483582,0.028623141645751568
0.0025,14.5,0.1875,0.02243262504015565,0.03265081060320159
0.0025,14.5,0.2,0.02422208883393205,0.03796979242503535
0.0025,14.75,0.15,0.017160159797141045,0.020644206806814447
0.0025,14.75,0.1625,0.018756548324476166,0.02301580869789044
0.0025,14.75,0.175,0.020350770283719347,0.02721848994839983
0.0025,14.75,0.1875,0.02201923696321123,0.031167389988706176
0.0025,14.75,0.2,0.023775189906248887,0.035812746891285704
0.0025,15.0,0.15,0.016849831257511386,0.019203062524507736
0.0025,15.0,0.1625,0.018385561118388436,0.022023715960761664
0.0025,15.0,0.175,0.019965581569015862,0.02643149574645555
0.0025,15.0,0.1875,0.021590136170540127,0.030612309867764975
0.0025,15.0,0.2,0.023295377597497606,0.03550742836751963
0.005,14.0,0.15,0.018164817980310662,0.021467917357107402
0.005,14.0,0.1625,0.019839537327347938,0.025273072373161218
0.005,14.0,0.175,0.021588165837407098,0.03060481928280978
0.005,14.0,0.1875,0.023402033447313106,0.03597450194975267
0.005,14.0,0.2,0.025286461398977764,0.04132714516532501
0.005,14.25,0.15,0.01784971998847996,0.02103350902635316
0.005,14.25,0.1625,0.019480340440561985,0.02519734801124568
0.005,14.25,0.175,0.021175279721009098,0.029138987235554498
0.005,14.25,0.1875,0.022931931392573178,0.03464282748885697
0.005,14.25,0.2,0.024749573255479523,0.03972289112715258
0.005,14.5,0.15,0.01749977929569465,0.019986578358439755
0.005,14.5,0.1625,0.019090878048729328,0.022995084452614195
0.005,14.5,0.175,0.020725553476432762,0.028032259029167603
0.005,14.5,0.1875,0.022448316239756447,0.0321312871934136
0.005,14.5,0.2,0.02423487396376746,0.03795556853274817
0.005,14.75,0.15,0.017140642571747113,0.01976026404014007
0.005,14.75,0.1625,0.018749745991118227,0.022425366466629862
0.005,14.75,0.175,0.02035342601117417,0.026367327855714245
0.005,14.75,0.1875,0.022046266496870488,0.031600775034568374
0.005,14.75,0.2,0.023745262118378668,0.036085142350329655
0.005,15.0,0.15,0.01684135469830383,0.01887665814728179
